Title,Author,Year,Link,Snippet
Effectiveness of 2D Induced Polarisation & Electrical Resistivity Tomography in Mapping Fracture Heterogeneity in Foundation Soils,['I Ifediegwu'],2021,https://www.academia.edu/download/86566914/v1_covered.pdf,
Effectiveness of 2D Induced Polarisation & Electrical Resistivity Tomography in Mapping Fracture Heterogeneity in Foundation Soils.,"['OD Nnebedum', 'O Igwe', 'SI Ifediegwu']",2021,https://www.researchsquare.com/article/rs-681484/latest,
Imaging subsurface fracture characteristics using 2D electrical resistivity tomography,"['II Obiadi', 'AG Onwuemesi', 'OL Anike']",2012,https://www.researchgate.net/profile/I-Obiadi/publication/281108556_Imaging_subsurface_fracture_characteristics_using_2D_electrical_resistivity_tomography/links/55d5dc9008aeb38e8a819781/Imaging-subsurface-fracture-characteristics-using-2D-electrical-resistivity-tomography.pdf,
"Utilising 2-d resistivity imaging tomography in investigating structural failure in some buildings in Adankolo campus of Federal University Lokoja, Nigerian north central …","['A Ibrahim', 'J Nasiru', 'MB Aminu', 'AH AYOOLA']",2024,https://www.academia.edu/download/114415560/1mjg2024_59_75.pdf,
2-D electrical resistivity tomography for groundwater exploration in hard rock terrain,"['A Jayeoba', 'MA Oladunjoye']",2015,https://www.researchgate.net/profile/Ayodeji-Jayeoba-2/publication/332607549_2-D_Electrical_Resistivity_Tomography_for_Groundwater_Exploration_in_Hard_Rock_Terrain/links/5cc04a45299bf120977b3608/2-D-Electrical-Resistivity-Tomography-for-Groundwater-Exploration-in-Hard-Rock-Terrain.pdf,
"GEOPHYSICAL MAPPING OF NEAR-SURFACE FEATURES ALONG IRUEKPEN-IFON HIGHWAY SOUTH-SOUTHERN, NIGERIA",['KO OZEGIN'],2019,https://pgsdspace.ictp.it/xmlui/handle/123456789/973,
"… of potential zones of lead-zinc mineralization in Uburu Ohaozara LGA South Eastern Nigeria, using electrical resistivity tomography and induced polarization methods",['IC IKEGBUNAM'],2022,https://academicjournals.org/journal/IJPS/article-full-text/68C79BE70146,
"Imaging Subsurface Fracture Characteristics Using Electrical Resistivity Tomography: A Case Study in Dougherty County, Southwest Georgia",['K Asiedu'],2025,https://search.proquest.com/openview/722a462419f304c49f244e5c9c8f658a/1?pq-origsite=gscholar&cbl=18750&diss=y,
"GROUNDWATER PROSPECTING USING 2− D ELECTRICAL RESISTIVITY IMAGING TECHNIQUE IN AJEBO COMMUNITY OF ORU-IJEBU, SOUTH-WEST NIGERIA",['SA ISHOLA'],2026,https://harvardpublications.com/hijiras/article/view/659,
"Application of the 2D electromagnetic tomography in delineating groundwater zones in pre-Santonian fractured sedimentary rocks in Abakaliki area, southern Benue …","['NM Onwa', 'IA Obasi']",2022,https://link.springer.com/article/10.1007/s12517-022-09443-2,
"Electrical Resistivity Tomography (ERT) for the Investigation of Erosion site in Oredide Village, Auchi in Etsako West LGA of Edo State, Southern Nigeria","['DA Babaiwa', 'OJ Airen']",2021,https://pdfs.semanticscholar.org/6718/f50da7a9b339fa13cb860e72e40d2e3f1a38.pdf,
Analysis of geotechnical-assisted 2-D electrical resistivity tomography monitoring of slope instability in residual soil of weathered granitic basement,"['OP Olabode', 'LH San', 'MH Ramli']",2020,https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2020.580230/full,
"Interpretation of"" ERT"" Data Using ADMT Method from Industrial Waste Migration into Groundwater Depth in an'X'Location.","['R OGHONYON', 'EU NNURUM']",2025,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=25791184&AN=188539250&h=r%2Bo7dDYNuAFoiRheQxNxK3O5dwH8ywhPzxSV9nvCp4XbHHxu3rugVh9qneZHQVYMi6nrPK%2FyVgPfBGJUZ5cPcA%3D%3D&crl=c,
"Geophysical investigation of the Orle River fracture system in Igarra Township, southwestern Nigeria",['M Aminu'],2021,https://www.academia.edu/download/76674578/198500.pdf,
Integrated electromagnetic (EM) and Electrical Resistivity Tomography (ERT) geophysical studies of environmental impact of Awotan dumpsite in Ibadan …,"['OO Osinowo', 'MO Falufosi', 'EO Omiyale']",2018,https://www.sciencedirect.com/science/article/pii/S1464343X17305009,
"An Integrated Geophysical Approach for the Precise Delineation of Sulphide Ore Within Fractured Zones of the Southern Benue Trough, Southeastern Nigeria","['C Akpa', 'CC Ugbor', 'KM Onuoha', 'CC Ani']",2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/gj.70115,
Article Open Access,['SA Ishola'],NA,https://openurl.ebsco.com/fulltext/gcd:192607634?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:192607634&crl=f&jrnl=13353055,
"Electrical resistivity tomography and VLF-EM technique for locating groundwater prospect in basement complex terrain of Ibadan south-west, Nigeria.","['OK Abass', 'MA Bello', 'I Williams']",NA,http://eprints.lmu.edu.ng/5698/,
"… HIGHWAYS IN AWKA METROPOLIS, SOUTHEASTERN NIGERIA USING 2D ELECTRICAL RESISTIVITY TOMOGRAPHY AND GEOTECHNICAL METHODS","['N Egwuonwu Gabriel', 'C Ebom Emmanuel']",2020,https://abjournals.org/international-journal-of-mechanical-and-civil-engineering-ijmce/wp-content/uploads/sites/13/journal/published_paper/volume-3/issue-1/IJMCE_KPWQ91CE.pdf,
"Prospecting for metallic mineral deposits using integrated electromagnetic and electrical resistivity tomography in Agbede, Edo State Nigeria","['KO Ozegin', 'OJ Ataman', 'EC Okolie']",2017,https://www.ajol.info/index.php/sa/article/download/175517/164936,
